sentence,intent
"Подскажите, какой график работы клиники?", "Клиника работает ежедневно с 8:00 до 20:00"
"Какой сегодня график работы клиники?","Сегодня клиника открыта с 8:00 до 20:00."
"Где находится отделение скорой помощи?","Отделение скорой помощи находится на первом этаже рядом с главным входом."
"Как записаться на прием к врачу?","Вы можете записаться на прием к врачу через наш веб-сайт или по телефону."
"Какие тесты нужно сдать перед операцией?","Обычно перед операцией нужно сдать анализы крови и пройти ЭКГ."
"Как связаться с моим лечащим врачом?","Вы можете связаться с вашим лечащим врачом через регистратуру больницы."
"Какие документы нужно принести на прием?","Пожалуйста принесите паспорт и медицинскую карту на прием."
"Где я могу сдать анализы крови?","Анализы крови можно сдать в лаборатории на втором этаже."
"Что делать в случае экстренной ситуации?","В случае экстренной ситуации позвоните в скорую помощь по номеру 112 или обратитесь в отделение скорой помощи."
"Какие у вас есть специализированные отделения?","В нашей клинике есть кардиологическое неврологическое и ортопедическое отделения."
"Есть ли парковка для пациентов?","Да у нас есть парковка для пациентов на территории клиники."
"Какие способы оплаты вы принимаете?","Мы принимаем наличные банковские карты и страховые полисы."
"Как получить направление на МРТ?","Для получения направления на МРТ обратитесь к вашему лечащему врачу."
"Сколько времени занимает выписка после операции?","Обычно выписка занимает около двух часов после операции."
"Какие у вас есть услуги для детей?","У нас есть педиатрические услуги и консультации для детей."
"Есть ли у вас услуги по уходу на дому?","Да мы предоставляем услуги по уходу на дому для пациентов после операций."
"Какую информацию нужно сообщить при регистрации?","При регистрации укажите вашу контактную информацию и данные страховки."
"Кому обратиться для получения результатов анализов?","Для получения результатов анализов обратитесь в лабораторное отделение."
"Каковы правила посещения пациентов?","Посещение пациентов разрешено с 10:00 до 18:00 ежедневно."
"Где я могу получить второе мнение по диагнозу?","Для получения второго мнения обратитесь в консультационный кабинет на третьем этаже."
"Как получить консультацию онлайн?","Онлайн-консультацию можно получить через наш веб-портал после регистрации."
